NOTIFY: Locale symbol 'error_tourprogress_owner_signed_out' redefined
[APD_DIAG] member='player0' mesh='hands_naked.mesh' bone='bone_L-ringfinger02.mesh' distinct=1 cached=1 bakedRest.ang=133.2 ownNow.ang=133.2 boundNow.ang=118.3 own=0x560a82d50fa0 bound=0x560a81634a00
[APD_DIAG] member='player0' mesh='hands_naked.mesh' bone='bone_L-middlefinger03.mesh' distinct=1 cached=1 bakedRest.ang=147.6 ownNow.ang=147.6 boundNow.ang=112.6 own=0x560a82d4f4a0 bound=0x560a8066fa40
[APD_DIAG] member='player0' mesh='hands_naked.mesh' bone='bone_L-pinky02.mesh' distinct=1 cached=1 bakedRest.ang=112.4 ownNow.ang=112.4 boundNow.ang=114.7 own=0x560a82d50220 bound=0x560a8073d7a0
[APD_DIAG] member='player0' mesh='hands_naked.mesh' bone='bone_L-pinky03.mesh' distinct=1 cached=1 bakedRest.ang=125.7 ownNow.ang=125.7 boundNow.ang=105.1 own=0x560a82d50580 bound=0x560a8073db00
[APD_DIAG] member='player0' mesh='hands_naked.mesh' bone='bone_L-ringfinger03.mesh' distinct=1 cached=1 bakedRest.ang=137.7 ownNow.ang=137.7 boundNow.ang=115.1 own=0x560a82d51300 bound=0x560a81634d60
[APD_DIAG] member='player0' mesh='hands_naked.mesh' bone='bone_L-pinky01.mesh' distinct=1 cached=1 bakedRest.ang=102.1 ownNow.ang=102.1 boundNow.ang=123.1 own=0x560a82d4fec0 bound=0x560a80498300
[HEAD_REBIND] member='player0' targets=18 slots=216 reboundBones=205 reboundMeshes=16 pending=2 restPose=105 quiet=0 latched=0
[APD_DIAG] member='player1' mesh='fingernails_resource.mesh' bone='bone_R-middlefinger03.mesh' distinct=1 cached=1 bakedRest.ang=119.7 ownNow.ang=119.7 boundNow.ang=129.9 own=0x560a837a2a60 bound=0x560a80730140
[APD_DIAG] member='player1' mesh='fingernails_resource.mesh' bone='bone_R-pinky03.mesh' distinct=1 cached=1 bakedRest.ang=134.4 ownNow.ang=134.4 boundNow.ang=132.9 own=0x560a837a3b40 bound=0x560a818d72c0
[APD_DIAG] member='player1' mesh='fingernails_resource.mesh' bone='bone_R-thumb03.mesh' distinct=1 cached=1 bakedRest.ang=174.0 ownNow.ang=174.0 boundNow.ang=169.5 own=0x560a837a6a80 bound=0x560a8057c6e0
[APD_DIAG] member='player1' mesh='fingernails_resource.mesh' bone='bone_R-index03.mesh' distinct=1 cached=1 bakedRest.ang=115.9 ownNow.ang=115.9 boundNow.ang=118.7 own=0x560a837a12c0 bound=0x560a81ed7060
[APD_DIAG] member='player1' mesh='fingernails_resource.mesh' bone='bone_R-ringfinger03.mesh' distinct=1 cached=1 bakedRest.ang=124.5 ownNow.ang=124.5 boundNow.ang=124.9 own=0x560a837a48c0 bound=0x560a806e4700
[APD_DIAG] member='player1' mesh='fingernails_resource.mesh' bone='bone_L-pinky03.mesh' distinct=1 cached=1 bakedRest.ang=102.8 ownNow.ang=102.8 boundNow.ang=105.1 own=0x560a82d2e0c0 bound=0x560a8073db00
